numero,nombre,cuit,categoria,contribuyente,contacto,mail,telefono,razon,importe,fecha,nro_cuenta,ciudad
P00015,Rosa Pérez,30-24681358-6,Agente impositivo,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A,26434.0,2024-05-19,509100,Buenos Aires
P00016,Marketing Global,30-97531247-8,Servicios,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L,295412.0,2024-04-09,514100,Neuquén
P00016,Marketing Global,30-97531247-8,Servicios,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L,128265.0,2024-04-10,514100,Neuquén
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A,136358.0,2024-05-01,516000,Rio Gallegos
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A,288537.0,2024-03-05,516000,Rio Gallegos
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable inscripto, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L,122441.0,2024-01-03,501400,San Rafael
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable inscripto, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L,133962.0,2024-02-04,501400,San Rafael
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,109470.0,2019-01-01,509100,Buenos Aires
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,211512.0,2019-03-28,509100,Buenos Aires
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,115392.0,2019-05-28,509100,Buenos Aires
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,66906.0,2021-01-07,509100,Buenos Aires
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,149277.0,2020-10-07,509100,Buenos Aires
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,164820.0,2023-01-01,509100,Buenos Aires
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L,84017.0,2023-10-07,509100,Buenos Aires
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,12770.0,2019-01-03,501400,Bahía Blanca
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,279575.0,2019-04-01,501400,Bahía Blanca
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,229019.0,2019-06-01,501400,Bahía Blanca
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,277032.0,2021-01-10,501400,Bahía Blanca
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,170554.0,2020-10-10,501400,Bahía Blanca
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,109099.0,2023-01-03,501400,Bahía Blanca
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A,120929.0,2023-10-10,501400,Bahía Blanca
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,272036.0,2019-01-05,501400,Buenos Aires
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,211801.0,2019-04-04,501400,Buenos Aires
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,153534.0,2019-06-04,501400,Buenos Aires
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,291211.0,2021-01-13,501400,Buenos Aires
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,25100.0,2020-10-13,501400,Buenos Aires
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,136125.0,2023-01-05,501400,Buenos Aires
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,151245.0,2023-10-13,501400,Buenos Aires
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L,10352.0,2019-01-07,502100,Buenos Aires
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L,199434.0,2019-04-07,502100,Buenos Aires
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L,288754.0,2021-01-16,502100,Buenos Aires
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L,241670.0,2023-01-07,502100,Buenos Aires
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A,291670.0,2019-01-10,516000,Santiago del Estero
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A,175139.0,2019-04-10,516000,Santiago del Estero
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A,140691.0,2021-01-19,516000,Santiago del Estero
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A,257510.0,2023-01-10,516000,Santiago del Estero
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L,104176.0,2019-02-11,507100,Río Cuarto
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L,18742.0,2019-04-13,507100,Río Cuarto
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L,29783.0,2021-01-22,507100,Río Cuarto
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L,47776.0,2023-02-11,507100,Río Cuarto
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A,64042.0,2019-02-14,509100,San Fernando del Valle de Catamarca
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A,271022.0,2019-04-16,509100,San Fernando del Valle de Catamarca
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A,269442.0,2021-01-25,509100,San Fernando del Valle de Catamarca
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A,51622.0,2023-02-14,509100,San Fernando del Valle de Catamarca
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,131033.0,2019-02-17,501400,Villa María
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,166866.0,2019-04-19,501400,Villa María
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,42714.0,2021-01-28,501400,Villa María
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,130133.0,2023-02-17,501400,Villa María
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L,152895.0,2019-02-20,502100,San Luis
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L,230465.0,2019-04-22,502100,San Luis
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L,190624.0,2021-02-01,502100,San Luis
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L,232698.0,2023-02-20,502100,San Luis
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A,192247.0,2019-01-12,516000,Chaco
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A,215535.0,2019-02-23,516000,Chaco
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A,53588.0,2019-04-25,516000,Chaco
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A,198463.0,2021-02-04,516000,Chaco
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A,193408.0,2023-01-12,516000,Chaco
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A,175620.0,2023-02-23,516000,Chaco
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L,233493.0,2019-01-15,507100,Buenos Aires
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L,172873.0,2019-02-26,507100,Buenos Aires
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L,134090.0,2019-04-28,507100,Buenos Aires
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L,128552.0,2021-02-07,507100,Buenos Aires
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L,200989.0,2023-01-15,507100,Buenos Aires
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L,248690.0,2023-02-26,507100,Buenos Aires
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A,39393.0,2019-01-17,509100,San Nicolás
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A,202116.0,2019-03-01,509100,San Nicolás
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A,282553.0,2019-05-01,509100,San Nicolás
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A,143848.0,2021-02-10,509100,San Nicolás
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A,172745.0,2023-01-17,509100,San Nicolás
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A,176341.0,2023-03-01,509100,San Nicolás
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,125746.0,2019-01-20,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,259600.0,2019-03-04,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,232274.0,2019-05-04,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,49747.0,2019-06-07,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,111656.0,2021-02-13,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,43202.0,2020-10-16,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,129158.0,2023-01-20,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,152240.0,2023-03-04,501400,Luján
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,35853.0,2023-10-16,501400,Luján
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,13869.0,2019-01-22,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,157396.0,2019-03-07,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,97345.0,2019-05-07,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,57351.0,2019-06-10,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,251228.0,2021-02-16,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,257036.0,2020-10-19,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,226947.0,2023-01-22,502100,Jujuy
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L,57471.0,2023-10-19,502100,Jujuy
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,277243.0,2019-01-25,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,184382.0,2019-03-10,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,273206.0,2019-05-10,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,109321.0,2019-06-13,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,11195.0,2021-02-19,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,218095.0,2020-10-22,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,14028.0,2023-01-25,516000,Buenos Aires
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A,289894.0,2023-10-22,516000,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,212213.0,2019-01-27,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,189803.0,2019-03-13,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,91956.0,2019-05-13,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,94918.0,2019-06-16,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,262781.0,2020-09-22,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,113111.0,2020-10-25,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,93391.0,2023-01-27,507100,Buenos Aires
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L,228821.0,2023-10-25,507100,Buenos Aires
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,214933.0,2019-01-30,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,121607.0,2019-03-16,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,63352.0,2019-05-16,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,60909.0,2019-06-19,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,191131.0,2020-09-25,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,30101.0,2020-10-28,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,239664.0,2023-01-30,509100,Trelew
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A,16770.0,2023-10-28,509100,Trelew
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,167832.0,2019-02-02,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,247694.0,2019-03-19,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,113663.0,2019-05-19,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,19987.0,2019-06-22,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,26855.0,2020-09-28,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,299321.0,2020-11-01,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,145362.0,2023-02-02,501400,Mendoza
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,52591.0,2023-11-01,501400,Mendoza
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,285851.0,2019-02-05,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,266431.0,2019-03-22,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,47892.0,2019-05-22,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,143655.0,2019-06-25,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,253069.0,2021-01-01,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,124078.0,2020-10-01,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,164974.0,2020-11-04,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,98184.0,2023-02-05,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,70237.0,2023-10-01,502100,San Fernando
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L,249088.0,2023-11-04,502100,San Fernando
