numero,nombre,tipo,contacto,mail,telefono,razon,contribuyente,cuit,fecha,activo,frecuencia,importe,nro_cuenta,pais
D00030,FuturoTech,Empresa,Contacto DD,FuturoTech@example.com,(011) 5000-0030,S.R.L,Monotributista,29-01234569-0,2024-01-22,False,Anual,445169.0,403101,Chile
D00031,InnovarX,Empresa,Contacto EE,InnovarX@example.com,(011) 5000-0031,S.R.L,Responsable Inscripto,20-12345681-3,2024-06-05,True,Mensual,189438.0,402101,Paraguay
D00032,Cobra Solutions,Empresa,Contacto FF,Cobra Solutions@example.com,(011) 5000-0032,S.R.L,Monotributista,21-23456782-4,2024-05-07,True,Bimestral,115526.0,403101,Argentina
D00033,Metrópolis S.A.,Empresa,Contacto GG,Metrópolis S.A.@example.com,(011) 5000-0033,S.A,Responsable Inscripto,22-34567893-5,2024-04-21,True,Anual,154409.0,403101,Argentina
D00034,Vortex Energía,Empresa,Contacto HH,Vortex Energía@example.com,(011) 5000-0034,S.R.L,Monotributista,23-45678904-6,2024-06-01,True,Mensual,380153.0,402101,Chile
D00035,EcoVisión,Empresa,Contacto II,EcoVisión@example.com,(011) 5000-0035,S.R.L,Responsable Inscripto,24-56789015-7,2024-03-13,False,Bimestral,398095.0,403101,Colombia
D00036,NexuTech,Empresa,Contacto JJ,NexuTech@example.com,(011) 5000-0036,S.R.L,Monotributista,25-67890126-8,2024-08-31,True,Anual,385421.0,403101,Brasil
D00037,AlphaSystems,Empresa,Contacto KK,AlphaSystems@example.com,(011) 5000-0037,S.R.L,Responsable Inscripto,26-78901237-9,2024-02-01,False,Mensual,397090.0,402101,Uruguay
D00038,MetroLogística,Empresa,Contacto LL,MetroLogística@example.com,(011) 5000-0038,S.R.L,Monotributista,27-89012348-0,2024-05-20,True,Bimestral,259341.0,403101,Argentina
D00039,Quantum Ventures,Empresa,Contacto MM,Quantum Ventures@example.com,(011) 5000-0039,S.R.L,Responsable Inscripto,28-90123459-1,2024-06-28,True,Anual,406805.0,403101,Chile
D00040,Orion Innovaciones,Empresa,Contacto NN,Orion Innovaciones@example.com,(011) 5000-0040,S.R.L,Monotributista,29-01234570-2,2024-04-27,True,Mensual,333954.0,402101,Argentina
D00041,Jaan Pérez,Individuo,Contacto OO,Jaan Pérez@example.com,(011) 5000-0041,S.R.L,Monotributista,20-12345682-4,2024-02-29,False,Bimestral,86846.0,403101,Uruguay
D00042,Ana López,Individuo,Contacto PP,Ana López@example.com,(011) 5000-0042,S.R.L,Exento,21-23456783-5,2024-06-14,True,Anual,167448.0,403101,Bolivia
D00043,Jorge Rodríguez,Individuo,Contacto QQ,Jorge Rodríguez@example,(011) 5000-0043,S.R.L,Responsable Inscripto,22-34567894-6,2024-05-14,True,Mensual,70569.0,402102,Brasil
D00044,Sofía Díaz,Individuo,Contacto RR,Sofía Díaz@example.com,(011) 5000-0044,S.R.L,Monotributista,23-45678905-7,2024-04-03,True,Bimestral,130021.0,403101,Uruguay
D00045,alejandro Torres,Individuo,Contacto SS,alejandro Torres@example.com,(011) 5000-0045,S.R.L,Exento,24-56789016-8,2024-04-12,True,Anual,135342.0,403101,Colombia
D00046,Gabriela Ortiz,Individuo,Contacto TT,Gabriela Ortiz@example.com,(011) 5000-0046,S.R.L,Responsable Inscripto,25-67890127-9,2024-03-15,False,Mensual,55258.0,402102,Chile
D00047,Sergio Rivas,Individuo,Contacto UU,Sergio Rivas@example.com,(011) 5000-0047,S.R.L,Monotributista,26-78901238-0,2024-04-11,True,Bimestral,104301.0,403101,Brasil
D00048,Patricia Navarro,Individuo,Contacto VV,Patricia Navarro@example.com,(011) 5000-0048,S.R.L,Exento,27-89012349-1,2024-05-02,True,Anual,158669.0,403101,Uruguay
D00049,Fernando Aguilar,Individuo,Contacto WW,Fernando Aguilar@example.com,(011) 5000-0049,S.R.L,Responsable Inscripto,28-90123450-2,2024-06-17,True,Mensual,166965.0,402102,Colombia
D00050,Isabel Ríos,Individuo,Contacto XX,Isabel Ríos@example.com,(011) 5000-0050,S.R.L,Monotributista,29-01234571-3,2024-01-30,False,Bimestral,151978.0,403101,Uruguay
D00051,Rafael Silva,Individuo,Contacto YY,Rafael Silva@example.com,(011) 5000-0051,S.R.L,Exento,20-12345683-6,2024-04-17,True,Anual,176989.0,403101,Paraguay
D00052,Mónica León,Individuo,Contacto ZZ,Mónica León@example.com,(011) 5000-0052,S.R.L,Responsable Inscripto,21-23456784-7,2024-02-04,False,Mensual,102271.0,403101,Chile
D00053,Héctor Salazar,Individuo,Contacto AAA,Héctor Salazar@example.com,(011) 5000-0053,S.R.L,Monotributista,22-34567895-8,2024-06-27,True,Bimestral,154758.0,403101,Uruguay
D00054,Carolina Mendoza,Individuo,Contacto BBB,Carolina Mendoza@example.com,(011) 5000-0054,S.R.L,Exento,23-45678906-9,2024-05-11,True,Anual,55466.0,403101,Chile
D00055,Víctor Gil,Individuo,Contacto CCC,Víctor Gil@example.com,(011) 5000-0055,S.R.L,Responsable Inscripto,24-56789017-0,2024-04-07,True,Mensual,89589.0,402102,Chile
D00056,Claudia Ponce,Individuo,Contacto DDD,Claudia Ponce@example.com,(011) 5000-0056,S.R.L,Monotributista,25-67890128-1,2024-04-22,True,Bimestral,75404.0,403101,Uruguay
D00057,Mario Espinoza,Individuo,Contacto EEE,Mario Espinoza@example.com,(011) 5000-0057,S.R.L,Exento,26-78901229-2,2024-02-06,False,Anual,114077.0,403101,Paraguay
D00058,Rosa Cárdenas,Individuo,Contacto FFF,Rosa Cárdenas@example.com,(011) 5000-0058,S.R.L,Responsable Inscripto,27-89012330-3,2024-03-04,False,Mensual,174259.0,402102,Paraguay
D00059,Adolfo Cabrera,Individuo,Contacto GGG,Adolfo Cabrera@example.com,(011) 5000-0059,S.R.L,Monotributista,28-90123461-4,2024-04-17,True,Bimestral,133689.0,403101,Brasil
D00060,Susana Muñoz,Individuo,Contacto HHH,Susana Muñoz@example.com,(011) 5000-0060,S.R.L,Exento,29-01234572-5,2024-05-13,True,Anual,58351.0,403101,Argentina
D00061,Felipe Rojas,Individuo,Contacto III,Felipe Rojas@example.com,(011) 5000-0061,S.R.L,Responsable Inscripto,20-12345684-7,2024-03-17,False,Mensual,104373.0,402102,México
D00062,Olga Vargas,Individuo,Contacto JJJ,Olga Vargas@example.com,(011) 5000-0062,S.R.L,Monotributista,21-23456785-8,2024-05-16,True,Bimestral,167335.0,403101,Chile
D00063,Esteban Rosales,Individuo,Contacto KKK,Esteban Rosales@example.com,(011) 5000-0063,S.R.L,Exento,22-34567896-9,2024-01-29,False,Anual,99055.0,403101,Paraguay
D00064,Emma Paredes,Individuo,Contacto LLL,Emma Paredes@example.com,(011) 5000-0064,S.R.L,Responsable Inscripto,23-45678907-0,2024-06-26,True,Mensual,60683.0,402102,Argentina
D00065,Joaquín Serrano,Individuo,Contacto MMM,Joaquín Serrano@example.com,(011) 5000-0065,S.R.L,Monotributista,24-56789018-1,2024-05-09,True,Bimestral,119390.0,403101,Chile
D00066,Laura Márquez,Individuo,Contacto NNN,Laura Márquez@example.com,(011) 5000-0066,S.R.L,Exento,25-67890129-2,2024-02-01,False,Anual,117232.0,403101,Uruguay
D00067,Damián Molina,Individuo,Contacto OOO,Damián Molina@example.com,(011) 5000-0067,S.R.L,Responsable Inscripto,26-78901230-3,2024-06-13,True,Mensual,100701.0,402102,México
D00068,Viviana Herrera,Individuo,Contacto PPP,Viviana Herrera@example.com,(011) 5000-0068,S.R.L,Monotributista,27-89012331-4,2024-01-26,False,Bimestral,186202.0,403101,Uruguay
D00068,Viviana Herrera,Individuo,Contacto PPP,Viviana Herrera@example.com,(011) 5000-0068,S.R.L,Monotributista,27-89012331-4,2024-01-26,False,Bimestral,173157.0,403101,Paraguay
D00069,Agustín Martínez,Individuo,Contacto QQQ,Agustín Martínez@example,(011) 5000-0069,S.R.L,Exento,28-90123462-5,2024-02-17,False,Anual,109167.0,403101,Brasil
D00070,Clara Torres,Individuo,Contacto RRR,Clara Torres@example.com,(011) 5000-0070,S.R.L,Responsable Inscripto,29-01234573-6,2024-05-29,True,Mensual,121715.0,402102,Bolivia
D00071,Ezequiel Delgado,Individuo,Contacto SSS,Ezequiel Delgado@example.com,(011) 5000-0071,S.R.L,Monotributista,20-12345685-8,2024-06-12,True,Bimestral,181679.0,403101,Brasil
D00072,Pilar Ortiz,Individuo,Contacto TTT,Pilar Ortiz@example.com,(011) 5000-0072,S.R.L,Exento,21-23456786-9,2024-05-24,True,Anual,164792.0,403101,Chile
D00073,Luciano Rivas,Individuo,Contacto UUU,Luciano Rivas@example.com,(011) 5000-0073,S.R.L,Responsable Inscripto,22-34567897-0,2024-04-12,True,Mensual,184834.0,402102,Chile
D00074,Mía Morales,Individuo,Contacto VVV,Mía Morales@example.com,(011) 5000-0074,S.R.L,Monotributista,23-45678908-1,2024-02-19,False,Bimestral,173825.0,403101,Paraguay
D00075,Carlos Gómez,Individuo,Contacto WWW,Carlos Gómez@example.com,(011) 5000-0075,S.R.L,Exento,24-56789019-2,2024-02-02,False,Anual,166200.0,403101,Uruguay
D00076,Mariana Fernández,Individuo,Contacto XXX,Mariana Fernández@example.com,(011) 5000-0076,S.R.L,Responsable Inscripto,25-67890130-3,2024-05-18,True,Mensual,106340.0,402102,Brasil
D00077,Luis Martínez,Individuo,Contacto YYY,Luis Martínez@example,(011) 5000-0077,S.R.L,Monotributista,26-78901231-4,2024-06-20,True,Bimestral,130340.0,403101,Chile
D00078,Julia González,Individuo,Contacto ZZZ,Julia González@example.com,(011) 5000-0078,S.R.L,Exento,27-89012332-5,2024-03-13,False,Anual,90786.0,403101,Brasil
D00079,Ricardo López,Individuo,Contacto AAAA,Ricardo López@example.com,(011) 5000-0079,S.R.L,Responsable Inscripto,28-90123463-6,2024-03-06,False,Mensual,188151.0,403101,Argentina
D00080,Silvia Ramírez,Individuo,Contacto BBBB,Silvia Ramírez@example.com,(011) 5000-0080,S.R.L,Monotributista,29-01234574-7,2024-06-30,True,Bimestral,136947.0,403101,Argentina
D00081,Martín Vargas,Individuo,Contacto CCCC,Martín Vargas@example.com,(011) 5000-0081,S.R.L,Exento,20-12345686-0,2024-02-16,False,Anual,165727.0,403101,Brasil
D00082,Natalia Castro,Individuo,Contacto DDDD,Natalia Castro@example.com,(011) 5000-0082,S.R.L,Responsable Inscripto,21-23456787-1,2024-06-24,True,Mensual,114296.0,402102,Argentina
D00083,alejandra Peña,Individuo,Contacto EEEE,alejandra Peña@example,(011) 5000-0083,S.R.L,Monotributista,22-34567898-2,2024-03-15,False,Bimestral,76383.0,403101,Argentina
D00084,Santiago López,Individuo,Contacto FFFF,Santiago López@example.com,(011) 5000-0084,S.R.L,Exento,23-45678909-3,2024-06-18,True,Anual,137963.0,403101,Uruguay
D00085,Verónica Ruiz,Individuo,Contacto GGGG,Verónica Ruiz@example.com,(011) 5000-0085,S.R.L,Responsable Inscripto,24-56789020-4,2024-02-08,False,Mensual,63095.0,402102,Paraguay
D00086,Andrés Silva,Individuo,Contacto HHHH,Andrés Silva@example.com,(011) 5000-0086,S.R.L,Monotributista,25-67890131-5,2024-04-05,True,Bimestral,113891.0,403101,Brasil
D00087,Patricia Gómez,Individuo,Contacto IIII,Patricia Gómez@example.com,(011) 5000-0087,S.R.L,Exento,26-78901232-6,2024-02-22,False,Anual,125419.0,403101,Argentina
D00088,Javier Morales,Individuo,Contacto JJJJ,Javier Morales@example.com,(011) 5000-0088,S.R.L,Responsable Inscripto,27-89012333-7,2024-06-28,True,Mensual,121338.0,402102,Brasil
D00089,Liliana Romero,Individuo,Contacto KKKK,Liliana Romero@example.com,(011) 5000-0089,S.R.L,Monotributista,28-90123464-8,2024-06-10,True,Bimestral,58739.0,403101,Argentina
D00090,Maximiliano Álvarez,Individuo,Contacto LLLL,Maximiliano Álvarez@example.com,(011) 5000-0090,S.R.L,Exento,29-01234575-9,2024-04-10,True,Anual,65020.0,403101,Uruguay
D00091,Elena Bravo,Individuo,Contacto MMMM,Elena Bravo@example.com,(011) 5000-0091,S.R.L,Responsable Inscripto,20-12345687-0,2024-04-22,True,Mensual,163410.0,402102,Brasil
D00092,Hugo Fernández,Individuo,Contacto NNNN,Hugo Fernández@example.com,(011) 5000-0092,S.R.L,Monotributista,21-23456788-1,2024-03-09,False,Bimestral,123679.0,403101,México
D00093,Diana Morales,Individuo,Contacto OOOO,Diana Morales@example.com,(011) 5000-0093,S.R.L,Exento,22-34567889-2,2024-01-29,False,Anual,126605.0,403101,Paraguay
D00094,Rodrigo Medina,Individuo,Contacto PPPP,Rodrigo Medina@example.com,(011) 5000-0094,S.R.L,Responsable Inscripto,23-45678990-3,2024-04-02,True,Mensual,84706.0,403101,Argentina
D00095,Margarita Jiménez,Individuo,Contacto QQQQ,Margarita Jiménez@example,(011) 5000-0095,S.R.L,Monotributista,24-56789001-4,2024-02-22,False,Bimestral,195855.0,403101,Brasil
D00096,Emilio Soto,Individuo,Contacto RRRR,Emilio Soto@example.com,(011) 5000-0096,S.R.L,Exento,25-67890122-5,2024-04-15,True,Anual,114424.0,403101,Chile
D00096,Emilio Soto,Individuo,Contacto RRRR,Emilio Soto@example.com,(011) 5000-0096,S.R.L,Exento,25-67890122-5,2024-04-15,True,Anual,110881.0,403101,Venezuela
D00096,Emilio Soto,Individuo,Contacto RRRR,Emilio Soto@example.com,(011) 5000-0096,S.R.L,Exento,25-67890122-5,2024-04-15,True,Anual,57867.0,403101,Uruguay
D00097,Rocío Cabrera,Individuo,Contacto SSSS,Rocío Cabrera@example.com,(011) 5000-0097,S.R.L,Responsable Inscripto,26-78901233-6,2024-05-28,True,Mensual,139723.0,402102,Paraguay
D00098,Pablo Fernández,Individuo,Contacto TTTT,Pablo Fernández@example.com,(011) 5000-0098,S.R.L,Monotributista,27-89012344-7,2024-05-05,True,Bimestral,133131.0,403101,Paraguay
D00099,Belén Gómez,Individuo,Contacto UUUU,Belén Gómez@example.com,(011) 5000-0099,S.R.L,Exento,28-90123455-8,2024-01-25,False,Anual,162961.0,403101,Chile
D00100,Roberto Morales,Individuo,Contacto VVVV,Roberto Morales@example.com,(011) 5000-0100,S.R.L,Responsable Inscripto,29-01234576-9,2024-02-26,False,Mensual,156325.0,402102,Chile
D00101,Donaciones Co.,Empresa,Contacto VVVV,Donaciones Co.@example.com,(011) 5000-0101,S.R.L,Responsable Inscripto,29-01234576-10,2024-05-31,True,Anual,120000.0,409021,Colombia
D00102,Ayuda Empresarial S.A.,Empresa,Contacto VVVV,Ayuda Empresarial S.A.@example.com,(011) 5000-0102,S.A,Responsable Inscripto,29-01234576-11,2024-06-01,True,Anual,150000.0,409021,Paraguay
D00103,Donativos y Más S.R.L.,Empresa,Contacto VVVV,Donativos y Más S.R.L.@example.com,(011) 5000-0103,S.R.L,Responsable Inscripto,29-01234576-12,2024-06-02,True,Bimestral,200000.0,409021,Argentina
D00104,Apoyo Corporativo S.A.,Empresa,Contacto VVVV,Apoyo Corporativo S.A.@example.com,(011) 5000-0104,S.A,Responsable Inscripto,29-01234576-13,2024-06-03,True,Bimestral,180000.0,409021,Chile
D00105,Fundación Empresarial,Empresa,Contacto VVVV,Fundación Empresarial@example.com,(011) 5000-0105,S.A,Responsable Inscripto,29-01234576-14,2024-06-04,True,Bimestral,220000.0,409021,Paraguay
D00122,El Parque SRL,Empresa,Contacto ASD,parque@mail.com,(+)591 5550-9224,S.R.L,Responsable Inscripto,24-78912356-7,2018-01-01,True,Semestral,66227.0,403103,Bolivia
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,accióncomunitaria@mail.com,(+)56 5550-9223,GOB,Exento,34-01712356-6,2018-01-26,True,Anual,243823.0,404100,Chile
D00122,El Parque SRL,Empresa,Contacto ASD,parque@mail.com,(+)591 5550-9224,S.R.L,Responsable Inscripto,24-78912356-7,2018-01-01,True,Semestral,55300.0,403103,Bolivia
D00116,Universidad del Sur,Empresa,Contacto V,universidadds@mail.com,(+)51 5550-9220,S.A,Responsable Inscripto,29-38793456-3,2018-12-23,True,Anual,72299.0,403103,Perú
D00122,El Parque SRL,Empresa,Contacto ASD,parque@mail.com,(+)591 5550-9224,S.R.L,Responsable Inscripto,24-78912356-7,2018-01-01,True,Semestral,84760.0,403103,Bolivia
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,accióncomunitaria@mail.com,(+)56 5550-9223,GOB,Exento,34-01712356-6,2018-01-26,True,Anual,272276.0,404100,Chile
D00122,El Parque SRL,Empresa,Contacto ASD,parque@mail.com,(+)591 5550-9224,S.R.L,Responsable Inscripto,24-78912356-7,2018-01-01,True,Semestral,16137.0,403103,Bolivia
D00109,Innovatech Solutions,Estado,Contacto B,innovatechsolutions@mail.com,(+)54 5263-2378,S.A,Exento,24-56588769-6,2019-09-08,True,Bimestral,183574.0,404100,Argentina
D00112,Global Energies S.A.,Estado,Contacto A,globalenergiess.a.@example.net,(+)598 5503-7127,S.A,Responsable Inscripto,25-36901514-8,2019-08-13,True,Anual,385846.0,404100,Uruguay
D00109,Innovatech Solutions,Estado,Contacto B,innovatechsolutions@mail.com,(+)54 5263-2378,S.A,Exento,24-56588769-6,2019-09-08,True,Bimestral,714947.0,404100,Argentina
D00116,Universidad del Sur,Empresa,Contacto V,universidadds@mail.com,(+)51 5550-9220,S.A,Responsable Inscripto,29-38793456-3,2018-12-23,True,Anual,63458.0,403103,Perú
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,766487.0,403103,Paraguay
D00109,Innovatech Solutions,Estado,Contacto B,innovatechsolutions@mail.com,(+)54 5263-2378,S.A,Exento,24-56588769-6,2019-09-08,True,Bimestral,249584.0,404100,Argentina
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,global@logisticaglobal.com,(+)56 9 7654 3210,S.R.L,Monotributista,20-98765432-1,2020-01-01,True,Bimestral,60805.0,405100,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,356286.0,403103,Paraguay
D00122,El Parque SRL,Empresa,Contacto ASD,parque@mail.com,(+)591 5550-9224,S.R.L,Responsable Inscripto,24-78912356-7,2018-01-01,True,Semestral,18448.0,403103,Bolivia
D00117,Automoviles Full,Empresa,Contacto VS,afull@mail.com,(+)598 5550-9221,S.A,Responsable Inscripto,21-38712356-4,2020-01-24,False,Mensual,387885.0,403103,Uruguay
D00109,Innovatech Solutions,Estado,Contacto B,innovatechsolutions@mail.com,(+)54 5263-2378,S.A,Exento,24-56588769-6,2019-09-08,True,Bimestral,730842.0,404100,Argentina
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,72321.0,403103,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,afull@mail.com,(+)598 5550-9221,S.A,Responsable Inscripto,21-38712356-4,2020-01-24,False,Mensual,540813.0,403103,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,global@logisticaglobal.com,(+)56 9 7654 3210,S.R.L,Monotributista,20-98765432-1,2020-01-01,True,Bimestral,32127.0,405100,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,512660.0,403103,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,afull@mail.com,(+)598 5550-9221,S.A,Responsable Inscripto,21-38712356-4,2020-01-24,False,Mensual,274968.0,403103,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,235999.0,403103,Paraguay
D00109,Innovatech Solutions,Estado,Contacto B,innovatechsolutions@mail.com,(+)54 5263-2378,S.A,Exento,24-56588769-6,2019-09-08,True,Bimestral,280468.0,404100,Argentina
D00117,Automoviles Full,Empresa,Contacto VS,afull@mail.com,(+)598 5550-9221,S.A,Responsable Inscripto,21-38712356-4,2020-01-24,False,Mensual,276867.0,403103,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,global@logisticaglobal.com,(+)56 9 7654 3210,S.R.L,Monotributista,20-98765432-1,2020-01-01,True,Bimestral,63835.0,405100,Chile
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,apoyologisticosa@mail.com,(595) 5030-0105,S.A,Responsable Inscripto,29-01265476-14,2020-02-05,False,Trimestral,101418.0,403103,Paraguay
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,188904.0,403103,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,afull@mail.com,(+)598 5550-9221,S.A,Responsable Inscripto,21-38712356-4,2020-01-24,False,Mensual,460149.0,403103,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,futurocorporativo@mail.com,(+)595 5380-3426,S.A.S,Monotributista,27-23783266-6,2019-02-12,True,Mensual,183842.0,403103,Paraguay
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,accióncomunitaria@mail.com,(+)56 5550-9223,GOB,Exento,34-01712356-6,2018-01-26,True,Anual,205153.0,404100,Chile
D00109,Innovatech Solutions,Estado,Contacto B,innovatechsolutions@mail.com,(+)54 5263-2378,S.A,Exento,24-56588769-6,2019-09-08,True,Bimestral,166865.0,404100,Argentina
D00117,Automoviles Full,Empresa,Contacto VS,afull@mail.com,(+)598 5550-9221,S.A,Responsable Inscripto,21-38712356-4,2020-01-24,False,Mensual,247913.0,403103,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,global@logisticaglobal.com,(+)56 9 7654 3210,S.R.L,Monotributista,20-98765432-1,2020-01-01,True,Bimestral,84204.0,405100,Chile
