Numero Proveedor,Nombre Proveedor,CUIT,Categoria Proveedor,Tipo de Contribuyente,Contacto,Corre Electronico,Telefono,Razon Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Maps,Ciudad-maps
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,41665.0,1/02/2024,503100,Santa Fe,Argentina,"(-30.3154739, -61.1645076)","Santa Fe, Argentina"
P00014,Estudio Jurídico Alfa,30135792487,Materiales,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,58494.0,15/01/2024,506100,San Juan,Argentina,"(18.384239049999998, -66.05343997364733)","San Juan, Argentina"
P00014,Estudio Jurídico Alfa,30135792487,Materiales,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,218705.0,19/06/2024,506100,San Juan,Argentina,"(18.384239049999998, -66.05343997364733)","San Juan, Argentina"
P00015,Rosa Pérez,30-24681358-6,Agente impositivo,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,35574.0,24/05/2024,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00015,Rosa Pérez,30-24681358-6,Agente impositivo,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,26434.0,19/05/2024,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00016,Marketing Global,30-97531247-8,Servicios,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,295412.0,9/04/2024,514100,Neuquén,Argentina,"(-38.3695057, -69.832275)","Neuquén, Argentina"
P00016,Marketing Global,30-97531247-8,Servicios,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,128265.0,10/04/2024,514100,Neuquén,Argentina,"(-38.3695057, -69.832275)","Neuquén, Argentina"
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,136358.0,1/05/2024,516000,Rio Gallegos,Argentina,"(-51.6215268, -69.2150374)","Rio Gallegos, Argentina"
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,288537.0,5/03/2024,516000,Rio Gallegos,Argentina,"(-51.6215268, -69.2150374)","Rio Gallegos, Argentina"
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable inscripto, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,122441.0,3/01/2024,501400,San Rafael,Argentina,"(37.9747795, -122.5316686)","San Rafael, Argentina"
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable inscripto, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,133962.0,4/02/2024,501400,San Rafael,Argentina,"(37.9747795, -122.5316686)","San Rafael, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,109470.0,1/01/2019,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,211512.0,28/03/2019,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,115392.0,28/05/2019,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,66906.0,7/01/2021,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,149277.0,7/10/2020,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,164820.0,1/01/2023,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,84017.0,7/10/2023,509100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,12770.0,3/01/2019,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,279575.0,1/04/2019,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,229019.0,1/06/2019,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,277032.0,10/01/2021,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,170554.0,10/10/2020,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,109099.0,3/01/2023,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,120929.0,10/10/2023,501400,Bahía Blanca,Argentina,"(-38.7176522, -62.2654871)","Bahía Blanca, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,272036.0,5/01/2019,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,211801.0,4/04/2019,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,153534.0,4/06/2019,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,291211.0,13/01/2021,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,25100.0,13/10/2020,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,136125.0,5/01/2023,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,151245.0,13/10/2023,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,10352.0,7/01/2019,502100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,199434.0,7/04/2019,502100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,288754.0,16/01/2021,502100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,241670.0,7/01/2023,502100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,291670.0,10/01/2019,516000,Santiago del Estero,Argentina,"(-27.6431016, -63.5408542)","Santiago del Estero, Argentina"
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,175139.0,10/04/2019,516000,Santiago del Estero,Argentina,"(-27.6431016, -63.5408542)","Santiago del Estero, Argentina"
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,140691.0,19/01/2021,516000,Santiago del Estero,Argentina,"(-27.6431016, -63.5408542)","Santiago del Estero, Argentina"
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,257510.0,10/01/2023,516000,Santiago del Estero,Argentina,"(-27.6431016, -63.5408542)","Santiago del Estero, Argentina"
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,104176.0,11/02/2019,507100,Río Cuarto,Argentina,"(-33.1237585, -64.3489782)","Río Cuarto, Argentina"
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,18742.0,13/04/2019,507100,Río Cuarto,Argentina,"(-33.1237585, -64.3489782)","Río Cuarto, Argentina"
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,29783.0,22/01/2021,507100,Río Cuarto,Argentina,"(-33.1237585, -64.3489782)","Río Cuarto, Argentina"
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,47776.0,11/02/2023,507100,Río Cuarto,Argentina,"(-33.1237585, -64.3489782)","Río Cuarto, Argentina"
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,64042.0,14/02/2019,509100,San Fernando del Valle de Catamarca,Argentina,"(-28.4688806, -65.7790642)","San Fernando del Valle de Catamarca, Argentina"
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,271022.0,16/04/2019,509100,San Fernando del Valle de Catamarca,Argentina,"(-28.4688806, -65.7790642)","San Fernando del Valle de Catamarca, Argentina"
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,269442.0,25/01/2021,509100,San Fernando del Valle de Catamarca,Argentina,"(-28.4688806, -65.7790642)","San Fernando del Valle de Catamarca, Argentina"
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,51622.0,14/02/2023,509100,San Fernando del Valle de Catamarca,Argentina,"(-28.4688806, -65.7790642)","San Fernando del Valle de Catamarca, Argentina"
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,131033.0,17/02/2019,501400,Villa María,Argentina,"(-32.4106245, -63.2435809)","Villa María, Argentina"
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,166866.0,19/04/2019,501400,Villa María,Argentina,"(-32.4106245, -63.2435809)","Villa María, Argentina"
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,42714.0,28/01/2021,501400,Villa María,Argentina,"(-32.4106245, -63.2435809)","Villa María, Argentina"
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,130133.0,17/02/2023,501400,Villa María,Argentina,"(-32.4106245, -63.2435809)","Villa María, Argentina"
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,152895.0,20/02/2019,502100,San Luis,Argentina,"(38.6280278, -90.1910154)","San Luis, Argentina"
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,230465.0,22/04/2019,502100,San Luis,Argentina,"(38.6280278, -90.1910154)","San Luis, Argentina"
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,190624.0,1/02/2021,502100,San Luis,Argentina,"(38.6280278, -90.1910154)","San Luis, Argentina"
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,232698.0,20/02/2023,502100,San Luis,Argentina,"(38.6280278, -90.1910154)","San Luis, Argentina"
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,192247.0,12/01/2019,516000,Chaco,Argentina,"(-26.3829647, -60.8816092)","Chaco, Argentina"
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,215535.0,23/02/2019,516000,Chaco,Argentina,"(-26.3829647, -60.8816092)","Chaco, Argentina"
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,53588.0,25/04/2019,516000,Chaco,Argentina,"(-26.3829647, -60.8816092)","Chaco, Argentina"
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,198463.0,4/02/2021,516000,Chaco,Argentina,"(-26.3829647, -60.8816092)","Chaco, Argentina"
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,193408.0,12/01/2023,516000,Chaco,Argentina,"(-26.3829647, -60.8816092)","Chaco, Argentina"
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,175620.0,23/02/2023,516000,Chaco,Argentina,"(-26.3829647, -60.8816092)","Chaco, Argentina"
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,233493.0,15/01/2019,507100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,172873.0,26/02/2019,507100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,134090.0,28/04/2019,507100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,128552.0,7/02/2021,507100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,200989.0,15/01/2023,507100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,248690.0,26/02/2023,507100,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,39393.0,17/01/2019,509100,San Nicolás,Argentina,"(-33.3277089, -60.2165909)","San Nicolás, Argentina"
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,202116.0,1/03/2019,509100,San Nicolás,Argentina,"(-33.3277089, -60.2165909)","San Nicolás, Argentina"
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,282553.0,1/05/2019,509100,San Nicolás,Argentina,"(-33.3277089, -60.2165909)","San Nicolás, Argentina"
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,143848.0,10/02/2021,509100,San Nicolás,Argentina,"(-33.3277089, -60.2165909)","San Nicolás, Argentina"
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,172745.0,17/01/2023,509100,San Nicolás,Argentina,"(-33.3277089, -60.2165909)","San Nicolás, Argentina"
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,176341.0,1/03/2023,509100,San Nicolás,Argentina,"(-33.3277089, -60.2165909)","San Nicolás, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,125746.0,20/01/2019,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,259600.0,4/03/2019,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,232274.0,4/05/2019,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,49747.0,7/06/2019,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,111656.0,13/02/2021,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,43202.0,16/10/2020,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,129158.0,20/01/2023,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,152240.0,4/03/2023,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,35853.0,16/10/2023,501400,Luján,Argentina,"(-34.5661734, -59.1152598)","Luján, Argentina"
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,13869.0,22/01/2019,502100,Jujuy,Argentina,"(-23.3161458, -65.7595288)","Jujuy, Argentina"
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,157396.0,7/03/2019,502100,Jujuy,Argentina,"(-23.3161458, -65.7595288)","Jujuy, Argentina"
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,97345.0,7/05/2019,502100,Jujuy,Argentina,"(-23.3161458, -65.7595288)","Jujuy, Argentina"
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,57351.0,10/06/2019,502100,Jujuy,Argentina,"(-23.3161458, -65.7595288)","Jujuy, Argentina"
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,251228.0,16/02/2021,502100,Jujuy,Argentina,"(-23.3161458, -65.7595288)","Jujuy, Argentina"
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,257036.0,19/10/2020,502100,Jujuy,Argentina,"(-23.3161458, -65.7595288)","Jujuy, Argentina"
