Número Proveedor,Nombre Proveedor,CUIT,Categoria Proveedor,Tipo de Contribuyente,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta
P00076,Repuestos Beta S.A.,30-98765437-1,SERVICOS,Monotributista,Repuestos Beta,repuestos.beta@empresa.zom,6789-0123,S.R.L.,"$79.911,00",10/5/24/,501400
P00095,Servicios Consultores,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,"$80.841,00",28/6/24/,506100
P00036,Consultora S.A.,30-98765437-1,SERVICOS,Responsable inscripto,Marcela Martínez,marcela.martinez@empresa.zom,6789-0123,S.R.L.,"$83.555,00",4/1/24/,503100
P00068,Roberto Morales,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Roberto Morales,roberto.morales@correo.zom,8901-2345,S.R.L.,"$84.567,00",27/3/24/,514100
P00060,Roberto Pérez,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Roberto Pérez,roberto.perez@correo.zom,0123-4567,S.R.L.,"$85.688,00",6/1/24/,506100
P00074,Proveedora SRL,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Proveedora SRL,proveedora.srl@correo.zom,4567-8901,S.R.L.,"$86.825,00",4/6/24/,514100
P00081,Estudio Jurídico Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Estudio Jurídico,estudio.zeta@correo.zom,1234-5678,S.A.,"$88.494,00",11/2/24/,501400
P00026,Carlos López,30-98765437-1,MATERIALES,Monotributista,Carlos López,carlos.lopez@correo.com,6789-0123,S.R.L.,"$92.650,00",9/1/24/,509100
P00086,Ana Gómez,30-98765437-1,SERVICOS,Monotributista,Ana Gómez,ana.gomez@empresa.zom,6789-0123,S.R.L.,"$95.580,00",14/6/24/,516000
P00081,Estudio Jurídico Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Estudio Jurídico,estudio.zeta@correo.zom,1234-5678,S.A.,"$98.664,00",1/4/24/,501400
P00009,Fernando Gómez,30-98765437-1,MATERIALES,Responsable inscripto,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,"$98.854,00",20/1/24/,509100
P00007,Ana Sánchez,30-98765437-1,SERVICOS,Responsable inscripto,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,"$101.603,00",6/5/24/,503100
P00044,Grupo Beta,30-98765437-1,SERVICOS,Responsable inscripto,María Rodríguez,maria.rodriguez@correo.zom,4567-8901,S.R.L.,"$108.214,00",20/3/24/,509100
P00024,Mariana Rodríguez,30-98765437-1,SERVICOS,Monotributista,Mariana Rodríguez,mariana.rodriguez@correo.zom,4567-8901,S.R.L.,"$108.316,00",2/4/24/,503100
P00086,Ana Gómez,30-98765437-1,SERVICOS,Monotributista,Ana Gómez,ana.gomez@empresa.zom,6789-0123,S.R.L.,"$110.248,00",28/2/24/,516000
P00077,Javier Rodríguez,30-98765437-1,SERVICOS,Responsable inscripto,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,S.A.,"$111.243,00",22/3/24/,503100
P00076,Repuestos Beta S.A.,30-98765437-1,SERVICOS,Monotributista,Repuestos Beta,repuestos.beta@empresa.zom,6789-0123,S.R.L.,"$112.002,00",18/4/24/,501400
P00063,Grupo SRL,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Grupo SRL,grupo.srl@empresa.zom,3456-7890,S.R.L.,"$112.835,00",22/2/24/,516000
P00015,Rosa Pérez,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,"$115.620,00",24/5/24/,509100
D00011,Javier López,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,"$117.106,00",4/6/24/,516000
P00059,Proveedores SRL,30-98765437-1,SERVICOS,Responsable inscripto,Proveedores SRL,proveedores.srl@empresa.zom,9012-3456,S.R.L.,"$117.707,00",29/1/24/,501400
P00017,Julio Fernández,30-98765437-1,MATERIALES,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,"$121.086,00",1/5/24/,516000
P00045,Compañía Zeta,30-98765437-1,MATERIALES,Monotributista,Gabriela Torres,gabriela.torres@empresa.com,5678-9012,S.A.,"$121.389,00",29/6/24/,514100
P00020,Juegos del Norte,30-98765437-1,MATERIALES,Responsable inscripto,Pablo Fernández,pablo.fernandez@empresa.zom,0123-4567,S.R.L.,"$122.127,00",17/3/24/,506100
P00021,Distribuciones ABC,30-98765437-1,SERVICOS,Monotributista,Francisco Gómez,francisco.gomez@correo.zom,1234-5678,S.A.,"$122.880,00",6/5/24/,509100
P00069,Proveedores Beta,30-98765437-1,SERVICOS,Responsable inscripto,Proveedores Beta,proveedores.beta@empresa.zom,9012-3456,S.A.,"$123.157,00",21/6/24/,516000
P00097,Proveedora Consultora,30-98765437-1,SERVICOS,Responsable inscripto,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,S.A.A,"$124.891,00",30/6/24/,514100
P00087,Consultora Zeta SRL,30-98765437-1,SERVICOS,Responsable inscripto,Consultora Zeta,consultora.zeta@correo.zom,7890-1234,S.R.L.,"$127.588,00",6/3/24/,501400
P00012,Proveedor Ltda.,30-98765437-1,SERVICOS,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"$128.252,00",3/6/24/,501400
P00023,Inversiones Sigma,30-98765437-1,SERVICOS,Responsable inscripto,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,S.A.,"$128.799,00",12/1/24/,501400
P00019,Ana López,30-98765437-1,SERVICOS,Responsable inscripto,Ana López,ana.lopez@correo.com,9012-3456,S.A.,"$128.838,00",6/4/24/,503100
P00082,Gabriela Torres,30-98765437-1,SERVICOS,Monotributista,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,"$130.478,00",16/5/24/,503100
P00085,Estudio Consultores,30-98765437-1,MATERIALES,Responsable inscripto,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.A,"$134.052,00",9/2/24/,514100
P00077,Javier Rodríguez,30-98765437-1,SERVICOS,Responsable inscripto,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,S.A.,"$135.738,00",20/4/24/,503100
P00093,Servicios Proveedores,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,S.A.,"$135.868,00",9/1/24/,501400
P00083,Proveedora Gamma,30-98765437-1,MATERIALES,Responsable inscripto,Proveedora Gamma,proveedora.gamma@empresa.zom,3456-7890,S.A.,"$138.336,00",12/2/24/,506100
P00003,Empresa XYZ,30-98765437-1,MATERIALES,Responsable inscripto,María López,maria.lopez@empresa.com,3456-7890,S.A.,"$139.687,00",18/1/24/,506100
P00051,Gabriela Morales,30-98765437-1,MATERIALES,Responsable inscripto,Gabriela Morales,gabriela.morales@correo.zom,1234-5678,S.A.,"$142.460,00",17/3/24/,514100
P00078,Servicios Gamma S.A.,30-98765437-1,MATERIALES,Monotributista,Servicios Gamma,servicios.gamma@correo.zom,8901-2345,S.R.L.,"$143.033,00",8/4/24/,506100
P00058,Alejandro Martínez,30-98765437-1,SERVICOS,Monotributista,Alejandro Martínez,alejandro.martinez@correo.com,8901-2345,S.R.L.,"$144.695,00",19/2/24/,516000
P00064,Consultora S.A.S.,30-98765437-1,SERVICOS,Monotributista,Consultora S.A.S.,consultora@correo.com,4567-8901,S.R.L.,"$146.153,00",29/2/24/,501400
P00033,Servicios & Co.,30-98765437-1,SERVICOS,Monotributista,Gabriela Sánchez,gabriela.sanchez@correo.zom,3456-7890,S.A.,"$150.420,00",29/3/24/,514100
P00006,Grupo Alfa,30-98765437-1,SERVICOS,Responsable inscripto,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,"$150.678,00",9/1/24/,501400
P00093,Servicios Proveedores,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,S.A.,"$151.263,00",27/6/24/,501400
P00040,Javier Martínez,30-98765437-1,MATERIALES,Responsable inscripto,Javier Martínez,javier.martinez@correo.com,0123-4567,S.R.L.,"$152.989,00",18/3/24/,516000
P00061,Servicios Zeta S.A.,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Zeta,servicios.zeta@empresa.com,1234-5678,S.A.,"$153.273,00",14/2/24/,509100
P00052,Pedro Sánchez,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Pedro Sánchez,pedro.sanchez@correo.zom,2345-6789,S.R.L.,"$153.937,00",18/2/24/,516000
P00079,Ana Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Ana Morales,ana.morales@correo.zom,9012-3456,S.A.A,"$155.264,00",30/5/24/,509100
P00009,Fernando Gómez,30-98765437-1,MATERIALES,Responsable inscripto,Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,"$155.351,00",6/3/24/,509100
P00032,Repuestos Zeta,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Roberto Ruiz,roberto.ruiz@empresa.zom,2345-6789,S.R.L.,"$156.568,00",1/1/24/,509100
P00025,Servicios Delta,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Sergio García,sergio.garcia@empresa.zom,5678-9012,S.A.,"$156.680,00",5/6/24/,506100
P00098,Consultora Alpha,30-98765437-1,MATERIALES,Monotributista,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,S.R.L.,"$158.472,00",4/4/24/,516000
P00066,Marta López,30-98765437-1,SERVICOS,Monotributista,Marta López,marta.lopez@correo.zom,6789-0123,S.R.L.,"$158.588,00",13/3/24/,506100
P00016,Marketing Global,30-98765437-1,SERVICOS,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,"$158.655,00",10/4/24/,514100
P00089,Mariana Morales,30-98765437-1,SERVICOS,Responsable inscripto,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,"$160.810,00",25/1/24/,506100
D00053,Estudio Jurídico Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Estudio Jurídico,estudio.zeta@correo.com,3456-7890,S.A.,"$164.873,00",3/1/24/,501400
P00013,Repuestos Omega,30-98765437-1,SERVICOS,Monotributista,Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,"$165.070,00",14/4/24/,503100
P00022,Roberto Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$165.406,00",27/2/24/,514100
P00013,Repuestos Omega,30-98765437-1,SERVICOS,Monotributista,Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,"$168.452,00",1/2/24/,503100
P00087,Consultora Zeta SRL,30-98765437-1,SERVICOS,Responsable inscripto,Consultora Zeta,consultora.zeta@correo.zom,7890-1234,S.R.L.,"$171.619,00",19/3/24/,501400
P00005,Carlos Méndez,30-98765437-1,SERVICOS,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"$173.227,00",28/3/24/,514100
P00098,Consultora Alpha,30-98765437-1,MATERIALES,Monotributista,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,S.R.L.,"$174.377,00",25/2/24/,516000
P00022,Roberto Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$174.615,00",14/3/24/,516000
P00095,Servicios Consultores,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,"$176.507,00",30/3/24/,506100
P00050,Servicios Zeta,30-98765437-1,SERVICOS,Monotributista,Servicios Zeta,servicios.zeta@empresa.zom,0123-4567,S.R.L.,"$184.371,00",4/1/24/,509100
P00026,Carlos López,30-98765437-1,MATERIALES,Monotributista,Carlos López,carlos.lopez@correo.com,6789-0123,S.R.L.,"$185.402,00",7/5/24/,509100
P00062,Ana Gómez,30-98765437-1,MATERIALES,Monotributista,Ana Gómez,ana.gomez@correo.com,2345-6789,S.R.L.,"$188.554,00",17/6/24/,514100
P00001,Proveedora S.A.,30-98765437-1,SERVICOS,Responsable inscripto,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,"$189.954,00",18/3/24/,501400
P00091,Pedro Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Pedro Morales,pedro.morales@correo.zom,1234-5678,S.A.,"$193.959,00",18/4/24/,514100
P00096,Mariana Fernández,30-98765437-1,MATERIALES,Monotributista,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,"$197.447,00",4/3/24/,509100
P00023,Inversiones Sigma,30-98765437-1,SERVICOS,Responsable inscripto,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,S.A.,"$197.818,00",29/2/24/,501400
P00039,Estudio Zeta,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Estudio Zeta,estudio.zeta@correo.zom,9012-3456,S.A.,"$201.108,00",23/3/24/,514100
P00080,Consultora Beta SRL,30-98765437-1,SERVICOS,Monotributista,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,"$202.092,00",9/6/24/,514100
P00084,Fernando Pérez,30-98765437-1,SERVICOS,Monotributista,Fernando Pérez,fernando.perez@correo.zom,4567-8901,S.R.L.,"$202.128,00",12/2/24/,509100
P00071,Servicios Gamma,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Servicios Gamma,servicios.gamma@correo.zom,1234-5678,S.A.,"$202.261,00",3/3/24/,503100
P00042,Gabriela López,30-98765437-1,MATERIALES,Responsable inscripto,Gabriela López,gabriela.lopez@correo.zom,2345-6789,S.R.L.,"$203.310,00",14/2/24/,503100
P00096,Mariana Fernández,30-98765437-1,MATERIALES,Monotributista,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,"$204.006,00",11/5/24/,509100
P00046,Pedro Ruiz,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Pedro Ruiz,pedro.ruiz@correo.com,6789-0123,S.R.L.,"$204.022,00",26/1/24/,516000
P00092,Consultora Zeta,30-98765437-1,SERVICOS,Monotributista,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,S.R.L.,"$204.823,00",22/2/24/,516000
P00019,Ana López,30-98765437-1,SERVICOS,Responsable inscripto,Ana López,ana.lopez@correo.com,9012-3456,S.A.,"$207.617,00",17/5/24/,503100
P00091,Pedro Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Pedro Morales,pedro.morales@correo.zom,1234-5678,S.A.,"$209.036,00",29/6/24/,514100
P00031,María Gómez,30-98765437-1,MATERIALES,Monotributista,María Gómez,maria.gomez@correo.zom,1234-5678,S.A.,"$209.204,00",20/1/24/,506100
P00028,Andrés Martínez,30-98765437-1,MATERIALES,Responsable inscripto,Andrés Martínez,andres.martinez@correo.zom,8901-2345,S.R.L.,"$209.460,00",6/5/24/,516000
P00078,Servicios Gamma S.A.,30-98765437-1,MATERIALES,Monotributista,Servicios Gamma,servicios.gamma@correo.zom,8901-2345,S.R.L.,"$210.166,00",15/6/24/,506100
P00035,Victor Pérez,30-98765437-1,SERVICOS,Monotributista,Victor Pérez,victor.perez@correo.zom,5678-9012,S.A.,"$212.855,00",18/5/24/,501400
P00100,Gabriela Morales,30-98765437-1,MATERIALES,Monotributista,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,S.R.L.,"$213.343,00",7/1/24/,503100
P00022,Roberto Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$214.016,00",18/1/24/,514100
P00075,Servicios Alpha S.A.,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,"$215.609,00",30/6/24/,516000
P00041,Proveedora SRL,30-98765437-1,SERVICOS,Monotributista,Proveedora SRL,proveedora.srl@empresa.zom,1234-5678,S.R.L.,"$216.059,00",19/1/24/,501400
P00029,Grupo Omega,30-98765437-1,SERVICOS,Monotributista,Laura Fernández,laura.fernandez@correo.com,9012-3456,S.A.,"$217.766,00",12/3/24/,501400
P00084,Fernando Pérez,30-98765437-1,SERVICOS,Monotributista,Fernando Pérez,fernando.perez@correo.zom,4567-8901,S.R.L.,"$219.093,00",5/1/24/,509100
P00094,Gabriela Martínez,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,S.R.L.,"$220.046,00",2/3/24/,503100
P00028,Andrés Martínez,30-98765437-1,MATERIALES,Responsable inscripto,Andrés Martínez,andres.martinez@correo.zom,8901-2345,S.R.L.,"$220.966,00",25/3/24/,516000
P00027,Compañía Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Ana García,ana.garcia@empresa.com,7890-1234,S.A.,"$224.365,00",26/3/24/,514100
P00080,Consultora Beta SRL,30-98765437-1,SERVICOS,Monotributista,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,"$228.756,00",16/2/24/,516000
P00022,Roberto Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$229.012,00",10/6/24/,516000
P00099,Servicios Repuestos,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,"$229.885,00",26/5/24/,501400
P00025,Servicios Delta,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Sergio García,sergio.garcia@empresa.zom,5678-9012,S.A.,"$231.991,00",30/5/24/,506100
P00015,Rosa Pérez,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,"$234.322,00",19/5/24/,509100
P00016,Marketing Global,30-98765437-1,SERVICOS,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,"$234.752,00",9/4/24/,514100
P00047,Servicios SRL,30-98765437-1,SERVICOS,Responsable inscripto,Servicios SRL,servicios.srl@empresa.zom,7890-1234,S.R.L.,"$238.252,00",1/5/24/,501400
P00010,Soluciones Gama,30-98765437-1,SERVICOS,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"$242.014,00",2/5/24/,514100
P00089,Mariana Morales,30-98765437-1,SERVICOS,Responsable inscripto,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,"$243.339,00",18/1/24/,506100
P00024,Mariana Rodríguez,30-98765437-1,SERVICOS,Monotributista,Mariana Rodríguez,mariana.rodriguez@correo.zom,4567-8901,S.R.L.,"$246.479,00",11/3/24/,503100
P00080,Consultora Beta SRL,30-98765437-1,SERVICOS,Monotributista,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,"$248.564,00",22/6/24/,516000
P00014,Estudio Jurídico Alfa,30-98765437-1,MATERIALES,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,"$248.954,00",19/6/24/,506100
P00017,Julio Fernández,30-98765437-1,MATERIALES,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,"$252.040,00",5/3/24/,516000
P00021,Distribuciones ABC,30-98765437-1,SERVICOS,Monotributista,Francisco Gómez,francisco.gomez@correo.zom,1234-5678,S.A.,"$270.035,00",28/3/24/,509100
P00008,Compañía Beta,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,"$283.772,00",21/1/24/,506100
P00020,Juegos del Norte,30-98765437-1,MATERIALES,Responsable inscripto,Pablo Fernández,pablo.fernandez@empresa.zom,0123-4567,S.R.L.,"$292.966,00",15/4/24/,506100
P00018,Consultora Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,"$299.795,00",4/2/24/,501400
