Numero Proveedor,Nombre Proveedor,CUIT,Categoria Proveedor,Tipo de Contribuyente,Contacto,Corre Electronico,Telefono,Razon Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Maps
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,136125.0,5/01/2023,501400,Buenos Aires,Argentina,
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,151245.0,13/10/2023,501400,Buenos Aires,Argentina,
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,10352.0,7/01/2019,502100,Buenos Aires,Argentina,
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,199434.0,7/04/2019,502100,Buenos Aires,Argentina,
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,288754.0,16/01/2021,502100,Buenos Aires,Argentina,
P00104,María González,23-45678901-3,Transporte,Responsable inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,241670.0,7/01/2023,502100,Buenos Aires,Argentina,
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,291670.0,10/01/2019,516000,Santiago del Estero,Argentina,
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,175139.0,10/04/2019,516000,Santiago del Estero,Argentina,
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,140691.0,19/01/2021,516000,Santiago del Estero,Argentina,
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,257510.0,10/01/2023,516000,Santiago del Estero,Argentina,
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,104176.0,11/02/2019,507100,Río Cuarto,Argentina,
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,18742.0,13/04/2019,507100,Río Cuarto,Argentina,
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,29783.0,22/01/2021,507100,Río Cuarto,Argentina,
P00106,Laura Pérez,20-87654321-2,Agroindustria,Responsable inscripto,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,47776.0,11/02/2023,507100,Río Cuarto,Argentina,
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,64042.0,14/02/2019,509100,San Fernando del Valle de Catamarca,Argentina,
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,271022.0,16/04/2019,509100,San Fernando del Valle de Catamarca,Argentina,
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,269442.0,25/01/2021,509100,San Fernando del Valle de Catamarca,Argentina,
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,51622.0,14/02/2023,509100,San Fernando del Valle de Catamarca,Argentina,
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,131033.0,17/02/2019,501400,Villa María,Argentina,
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,166866.0,19/04/2019,501400,Villa María,Argentina,
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,42714.0,28/01/2021,501400,Villa María,Argentina,
P00108,Claudia Sánchez,27-76543210-6,Energía renovable,Responsable inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,130133.0,17/02/2023,501400,Villa María,Argentina,
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,152895.0,20/02/2019,502100,San Luis,Argentina,
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,230465.0,22/04/2019,502100,San Luis,Argentina,
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,190624.0,1/02/2021,502100,San Luis,Argentina,
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,232698.0,20/02/2023,502100,San Luis,Argentina,
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,192247.0,12/01/2019,516000,Chaco,Argentina,
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,215535.0,23/02/2019,516000,Chaco,Argentina,
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,53588.0,25/04/2019,516000,Chaco,Argentina,
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,198463.0,4/02/2021,516000,Chaco,Argentina,
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,193408.0,12/01/2023,516000,Chaco,Argentina,
P00110,Gabriela Torres,33-76543219-7,Construcción,Responsable inscripto,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,175620.0,23/02/2023,516000,Chaco,Argentina,
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,233493.0,15/01/2019,507100,Buenos Aires,Argentina,
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,172873.0,26/02/2019,507100,Buenos Aires,Argentina,
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,134090.0,28/04/2019,507100,Buenos Aires,Argentina,
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,128552.0,7/02/2021,507100,Buenos Aires,Argentina,
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,200989.0,15/01/2023,507100,Buenos Aires,Argentina,
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,248690.0,26/02/2023,507100,Buenos Aires,Argentina,
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,39393.0,17/01/2019,509100,San Nicolás,Argentina,
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,202116.0,1/03/2019,509100,San Nicolás,Argentina,
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,282553.0,1/05/2019,509100,San Nicolás,Argentina,
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,143848.0,10/02/2021,509100,San Nicolás,Argentina,
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,172745.0,17/01/2023,509100,San Nicolás,Argentina,
P00112,Silvia Ramírez,30-76543214-8,Tecnología,Responsable inscripto,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,176341.0,1/03/2023,509100,San Nicolás,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,125746.0,20/01/2019,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,259600.0,4/03/2019,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,232274.0,4/05/2019,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,49747.0,7/06/2019,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,111656.0,13/02/2021,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,43202.0,16/10/2020,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,129158.0,20/01/2023,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,152240.0,4/03/2023,501400,Luján,Argentina,
P00113,Roberto Cruz,27-23456789-3,Energía renovable,Responsable inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,35853.0,16/10/2023,501400,Luján,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,13869.0,22/01/2019,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,157396.0,7/03/2019,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,97345.0,7/05/2019,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,57351.0,10/06/2019,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,251228.0,16/02/2021,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,257036.0,19/10/2020,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,226947.0,22/01/2023,502100,Jujuy,Argentina,
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,57471.0,19/10/2023,502100,Jujuy,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,277243.0,25/01/2019,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,184382.0,10/03/2019,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,273206.0,10/05/2019,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,109321.0,13/06/2019,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,11195.0,19/02/2021,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,218095.0,22/10/2020,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,14028.0,25/01/2023,516000,Buenos Aires,Argentina,
P00115,Ernesto Ruiz,33-65432198-7,Construcción,Responsable inscripto,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,Sociedad Anónima,289894.0,22/10/2023,516000,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,212213.0,27/01/2019,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,189803.0,13/03/2019,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,91956.0,13/05/2019,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,94918.0,16/06/2019,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,262781.0,22/09/2020,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,113111.0,25/10/2020,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,93391.0,27/01/2023,507100,Buenos Aires,Argentina,
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,228821.0,25/10/2023,507100,Buenos Aires,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,214933.0,30/01/2019,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,121607.0,16/03/2019,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,63352.0,16/05/2019,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,60909.0,19/06/2019,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,191131.0,25/09/2020,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,30101.0,28/10/2020,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,239664.0,30/01/2023,509100,Trelew,Argentina,
P00117,Juan Castillo,30-87654321-0,Tecnología,Responsable inscripto,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,16770.0,28/10/2023,509100,Trelew,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,167832.0,2/02/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,247694.0,19/03/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,113663.0,19/05/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,19987.0,22/06/2019,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,26855.0,28/09/2020,501400,Mendoza,Argentina,
P00118,Sofía Martínez,27-12345678-9,Energía renovable,Responsable inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,299321.0,1/11/2020,501400,Mendoza,Argentina,
